sequence,region,type,From_To,most_similar_known_cluster,most_similar_known_cluster_type,similarity,BGC
MAG08585_0005,5.1,['arylpolyene'],76045_106920,flexirubin,Other,28,BGC0000839
MAG08585_0005,5.1,['arylpolyene'],76045_106920,flexirubin,Polyketide,13,BGC0000838
MAG08585_0005,5.1,['arylpolyene'],76045_106920,APE Vf,Other,15,BGC0000837
MAG08585_0005,5.1,['arylpolyene'],76045_106920,aryl polyenes,Other,16,BGC0002008
MAG08587_0162,162.1,['ranthipeptide'],1_3865,,,,
MAG08588_0002,2.1,['RRE-containing'],4339_24617,,,,
MAG08589_0001,1.1,['RRE-containing'],27528_47794,,,,
MAG08589_0048,48.1,['RiPP-like'],736_12910,,,,
MAG08592_0005,5.1,['RiPP-like'],150459_162684,,,,
MAG08594_0136,136.1,['NRPS'],1_4017,,,,
MAG08594_0142,142.1,['NRPS'],1_3772,,,,
MAG08594_0168,168.1,['ranthipeptide'],1_3061,,,,
MAG08595_0028,28.1,['arylpolyene'],1_26091,flexirubin,Other,12,BGC0000839
MAG08595_0028,28.1,['arylpolyene'],1_26091,flexirubin,Polyketide,5,BGC0000838
MAG08597_0031,31.1,['RRE-containing'],4286_21339,,,,
MAG08598_0017,17.1,['ranthipeptide'],1_17955,,,,
MAG08599_0009,9.1,['RiPP-like'],1_11731,,,,
MAG08599_0015,15.1,['lanthipeptide-class-ii'],1_16232,,,,
MAG08600_0008,8.1,['ranthipeptide'],56833_76844,,,,
MAG08601_0032,32.1,['RaS-RiPP'],1_15458,,,,
MAG08603_0001,1.1,['lanthipeptide-class-ii'],95362_118067,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08603_0001,1.1,['lanthipeptide-class-ii'],95362_118067,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08603_0003,3.1,['RiPP-like'],143074_154042,,,,
MAG08604_0015,15.1,['lanthipeptide-class-ii'],1_11184,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG08604_0015,15.1,['lanthipeptide-class-ii'],1_11184,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08604_0015,15.1,['lanthipeptide-class-ii'],1_11184,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG08604_0015,15.1,['lanthipeptide-class-ii'],1_11184,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG08604_0015,15.1,['lanthipeptide-class-ii'],1_11184,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08604_0016,16.1,['lanthipeptide-class-iii'],1_10707,,,,
MAG08605_0004,4.1,['RiPP-like'],6487_21897,gassericin T,RiPP,44,BGC0000619
MAG08605_0004,4.1,['RiPP-like'],6487_21897,gassericin-T,RiPP,44,BGC0001602
MAG08605_0004,4.1,['RiPP-like'],6487_21897,gassericin E,RiPP,33,BGC0001388
MAG08605_0005,5.1,['RiPP-like'],15610_26632,,,,
MAG08605_0045,45.1,['LAP'],1_16412,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG08605_0052,52.1,['RiPP-like'],1449_15097,,,,
MAG08606_0019,19.1,['lanthipeptide-class-iii'],1_10545,,,,
MAG08609_0009,9.1,['RRE-containing'],7154_27543,,,,
MAG08609_0096,96.1,['arylpolyene'],1_5332,flexirubin,Other,16,BGC0000839
MAG08609_0096,96.1,['arylpolyene'],1_5332,flexirubin,Polyketide,5,BGC0000838
MAG08611_0028,28.1,['ranthipeptide'],1_13752,,,,
MAG08612_0005,5.1,['RiPP-like'],20224_31159,,,,
MAG08612_0032,32.1,['RiPP-like'],1_9029,gassericin T,RiPP,22,BGC0000619
MAG08612_0032,32.1,['RiPP-like'],1_9029,gassericin-T,RiPP,22,BGC0001602
MAG08612_0032,32.1,['RiPP-like'],1_9029,gassericin E,RiPP,22,BGC0001388
MAG08612_0127,127.1,['RiPP-like'],1_4598,,,,
MAG08612_0128,128.1,['LAP'],1_4459,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG08612_0141,141.1,['RiPP-like'],1_3628,gassericin T,RiPP,33,BGC0000619
MAG08612_0141,141.1,['RiPP-like'],1_3628,gassericin-T,RiPP,33,BGC0001602
MAG08612_0141,141.1,['RiPP-like'],1_3628,gassericin E,RiPP,33,BGC0001388
MAG08613_0041,41.1,['arylpolyene'],1_14459,flexirubin,Other,12,BGC0000839
MAG08613_0041,41.1,['arylpolyene'],1_14459,flexirubin,Polyketide,5,BGC0000838
MAG08613_0041,41.1,['arylpolyene'],1_14459,APE Vf,Other,10,BGC0000837
MAG08613_0041,41.1,['arylpolyene'],1_14459,aryl polyenes,Other,11,BGC0002008
MAG08613_0073,73.1,['RRE-containing'],1_8340,,,,
MAG08613_0127,127.1,['arylpolyene'],1_4205,flexirubin,Other,8,BGC0000839
MAG08613_0154,154.1,['arylpolyene'],1_3357,,,,
MAG08614_0027,27.1,['lanthipeptide-class-ii'],1_16804,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08614_0027,27.1,['lanthipeptide-class-ii'],1_16804,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08614_0034,34.1,['LAP'],1_15399,,,,
MAG08615_0013,13.1,['lanthipeptide-class-ii'],1_12059,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG08615_0013,13.1,['lanthipeptide-class-ii'],1_12059,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08615_0013,13.1,['lanthipeptide-class-ii'],1_12059,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG08615_0013,13.1,['lanthipeptide-class-ii'],1_12059,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG08615_0013,13.1,['lanthipeptide-class-ii'],1_12059,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08615_0014,14.1,['lanthipeptide-class-iii'],1_10647,,,,
MAG08616_0028,28.1,['RiPP-like'],1_7610,,,,
MAG08616_0047,47.1,['ranthipeptide'],1_14724,,,,
MAG08617_0021,21.1,['T3PKS'],1_14953,,,,
MAG08617_0041,41.1,['NRPS-like'],1_9488,,,,
MAG08618_0007,7.1,['ranthipeptide'],1_20161,,,,
MAG08620_0096,96.1,['T3PKS'],1_4134,,,,
MAG08621_0127,127.1,['ranthipeptide'],1_3183,,,,
MAG08622_0007,7.1,['ranthipeptide'],11184_32590,,,,
MAG08622_0011,11.1,['RiPP-like'],1_10435,,,,
MAG08624_0051,51.1,['ranthipeptide'],1_8973,,,,
MAG08625_0025,25.1,['arylpolyene'],1_25200,flexirubin,Other,16,BGC0000839
MAG08625_0025,25.1,['arylpolyene'],1_25200,flexirubin,Polyketide,8,BGC0000838
MAG08625_0067,67.1,['RRE-containing'],1_8638,,,,
MAG08625_0069,69.1,['arylpolyene'],1_8256,flexirubin,Other,8,BGC0000839
MAG08625_0069,69.1,['arylpolyene'],1_8256,flexirubin,Polyketide,5,BGC0000838
MAG08627_0002,2.1,['ranthipeptide'],5120_25266,,,,
MAG08627_0003,3.1,['RaS-RiPP'],14350_39575,,,,
MAG08628_0037,37.1,['arylpolyene'],1_23190,flexirubin,Other,8,BGC0000839
MAG08628_0077,77.1,['RRE-containing'],1_10383,,,,
MAG08628_0084,84.1,['arylpolyene'],1_8661,flexirubin,Other,8,BGC0000839
MAG08628_0084,84.1,['arylpolyene'],1_8661,flexirubin,Polyketide,5,BGC0000838
MAG08629_0159,159.1,['ranthipeptide'],1_3016,,,,
MAG08631_0004,4.1,['RRE-containing'],49631_69885,,,,
MAG08632_0057,57.1,['thiopeptide'],1_10434,,,,
MAG08632_0091,91.1,['LAP'],1_4623,,,,
MAG08633_0035,35.1,['RRE-containing'],1_17043,,,,
MAG08637_0002,2.1,['ranthipeptide'],1_11794,,,,
MAG08637_0078,78.1,['cyclic-lactone-autoinducer'],1_6173,,,,
MAG08637_0118,118.1,['RRE-containing'],1_4388,,,,
MAG08638_0015,15.1,['arylpolyene'],23226_45895,flexirubin,Polyketide,5,BGC0000838
MAG08638_0015,15.1,['arylpolyene'],23226_45895,flexirubin,Other,8,BGC0000839
MAG08638_0052,52.1,['arylpolyene'],1_9650,flexirubin,Other,8,BGC0000839
MAG08638_0052,52.1,['arylpolyene'],1_9650,flexirubin,Polyketide,5,BGC0000838
MAG08640_0006,6.1,['ranthipeptide'],1_14866,,,,
MAG08641_0015,15.1,['RRE-containing'],1_13723,,,,
MAG08644_0225,225.1,['ranthipeptide'],1_2126,,,,
MAG08646_0190,190.1,['ranthipeptide'],1_3085,,,,
MAG08647_0009,9.1,['RaS-RiPP'],6421_20256,,,,
MAG08649_0001,1.1,['arylpolyene'],1_27521,flexirubin,Other,20,BGC0000839
MAG08649_0001,1.1,['arylpolyene'],1_27521,flexirubin,Polyketide,8,BGC0000838
MAG08649_0001,1.1,['arylpolyene'],1_27521,APE Vf,Other,15,BGC0000837
MAG08649_0001,1.1,['arylpolyene'],1_27521,aryl polyenes,Other,16,BGC0002008
MAG08649_0001,1.1,['arylpolyene'],1_27521,APE Ec,Other,10,BGC0000836
MAG08649_0001,1.2,['RRE-containing'],1_27521,flexirubin,Other,20,BGC0000839
MAG08649_0001,1.2,['RRE-containing'],1_27521,flexirubin,Polyketide,8,BGC0000838
MAG08649_0001,1.2,['RRE-containing'],1_27521,APE Vf,Other,15,BGC0000837
MAG08649_0001,1.2,['RRE-containing'],1_27521,aryl polyenes,Other,16,BGC0002008
MAG08649_0001,1.2,['RRE-containing'],1_27521,APE Ec,Other,10,BGC0000836
MAG08649_0004,4.1,"['LAP', 'thiopeptide']",85322_111452,,,,
MAG08649_0010,10.1,['arylpolyene'],72037_93321,flexirubin,Polyketide,5,BGC0000838
MAG08649_0010,10.1,['arylpolyene'],72037_93321,flexirubin,Other,8,BGC0000839
MAG08651_0004,4.1,['T3PKS'],1_31111,,,,
MAG08652_0033,33.1,['RiPP-like'],6488_19079,gassericin T,RiPP,44,BGC0000619
MAG08652_0033,33.1,['RiPP-like'],6488_19079,gassericin-T,RiPP,44,BGC0001602
MAG08652_0033,33.1,['RiPP-like'],6488_19079,gassericin E,RiPP,44,BGC0001388
MAG08652_0104,104.1,['RiPP-like'],1_4024,,,,
MAG08654_0025,25.1,['lanthipeptide-class-ii'],1_11970,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG08654_0025,25.1,['lanthipeptide-class-ii'],1_11970,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08654_0025,25.1,['lanthipeptide-class-ii'],1_11970,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG08654_0025,25.1,['lanthipeptide-class-ii'],1_11970,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG08654_0025,25.1,['lanthipeptide-class-ii'],1_11970,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08655_0047,47.1,['RiPP-like'],1_6752,,,,
MAG08655_0123,123.1,['T3PKS'],1_4210,,,,
MAG08657_0011,11.1,['T3PKS'],11510_41513,,,,
MAG08657_0012,12.1,['NRPS-like'],1_32474,,,,
MAG08658_0011,11.1,['RiPP-like'],32118_44313,,,,
MAG08658_0014,14.1,['ranthipeptide'],4170_19105,,,,
MAG08659_0002,2.1,['RaS-RiPP'],48165_73391,,,,
MAG08659_0055,55.1,['ranthipeptide'],1_6565,,,,
MAG08660_0012,12.1,['ranthipeptide'],12749_28498,,,,
MAG08661_0098,98.1,['ranthipeptide'],1_3873,,,,
MAG08663_0002,2.1,['arylpolyene'],35151_83901,flexirubin,Other,28,BGC0000839
MAG08663_0002,2.1,['arylpolyene'],35151_83901,flexirubin,Polyketide,13,BGC0000838
MAG08663_0002,2.1,['arylpolyene'],35151_83901,APE Vf,Other,15,BGC0000837
MAG08663_0002,2.1,['arylpolyene'],35151_83901,aryl polyenes,Other,16,BGC0002008
MAG08663_0016,16.1,"['thiopeptide', 'LAP']",6849_45537,TP-1161,RiPP:Thiopeptide,12,BGC0000615
MAG08663_0016,16.1,"['thiopeptide', 'LAP']",6849_45537,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG08663_0033,33.1,['RRE-containing'],1_18455,,,,
MAG08663_0060,60.1,['resorcinol'],1_8424,,,,
MAG08664_0022,22.1,['lanthipeptide-class-iii'],1_10568,,,,
MAG08665_0002,2.1,['NRPS-like'],71708_114167,,,,
MAG08665_0009,9.1,['lanthipeptide-class-iii'],1_15075,anacyclamide A10,RiPP:Cyanobactin,14,BGC0000472
MAG08665_0010,10.1,['T3PKS'],21692_51961,,,,
MAG08665_0012,12.1,['thiopeptide'],19080_45026,,,,
MAG08666_0027,27.1,['ranthipeptide'],1_15312,,,,
MAG08667_0043,43.1,['arylpolyene'],1_14527,flexirubin,Polyketide,8,BGC0000838
MAG08667_0043,43.1,['arylpolyene'],1_14527,flexirubin,Other,12,BGC0000839
MAG08667_0079,79.1,['RRE-containing'],1_10738,,,,
MAG08667_0145,145.1,['arylpolyene'],1_5818,flexirubin,Other,8,BGC0000839
MAG08667_0145,145.1,['arylpolyene'],1_5818,flexirubin,Polyketide,5,BGC0000838
MAG08667_0198,198.1,['arylpolyene'],1_3717,,,,
MAG08669_0009,9.1,['ranthipeptide'],1_11990,,,,
MAG08671_0002,2.1,['ranthipeptide'],41144_62556,,,,
MAG08672_0020,20.1,['lanthipeptide-class-ii'],1_12059,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG08672_0020,20.1,['lanthipeptide-class-ii'],1_12059,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08672_0020,20.1,['lanthipeptide-class-ii'],1_12059,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG08672_0020,20.1,['lanthipeptide-class-ii'],1_12059,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG08672_0020,20.1,['lanthipeptide-class-ii'],1_12059,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08672_0022,22.1,['lanthipeptide-class-iii'],1_10569,,,,
MAG08673_0008,8.1,['ranthipeptide'],2667_24097,,,,
MAG08674_0136,136.1,['T3PKS'],1_2909,,,,
MAG08676_0003,3.1,['ranthipeptide'],101168_122823,,,,
MAG08676_0004,4.1,['RiPP-like'],105023_123059,,,,
MAG08677_0019,19.1,['lanthipeptide-class-iii'],1_10545,,,,
MAG08677_0020,20.1,['lanthipeptide-class-ii'],1_10038,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG08677_0020,20.1,['lanthipeptide-class-ii'],1_10038,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08677_0020,20.1,['lanthipeptide-class-ii'],1_10038,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG08677_0020,20.1,['lanthipeptide-class-ii'],1_10038,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG08677_0020,20.1,['lanthipeptide-class-ii'],1_10038,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08679_0008,8.1,['RRE-containing'],38252_58518,,,,
MAG08679_0029,29.1,['arylpolyene'],2894_32667,flexirubin,Other,24,BGC0000839
MAG08679_0029,29.1,['arylpolyene'],2894_32667,flexirubin,Polyketide,11,BGC0000838
MAG08679_0029,29.1,['arylpolyene'],2894_32667,APE Vf,Other,10,BGC0000837
MAG08679_0029,29.1,['arylpolyene'],2894_32667,aryl polyenes,Other,11,BGC0002008
MAG08680_0028,28.1,['ranthipeptide'],1_16623,,,,
MAG08681_0002,2.1,['lanthipeptide-class-ii'],94726_117431,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08681_0002,2.1,['lanthipeptide-class-ii'],94726_117431,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08681_0002,2.2,['LAP'],94726_117431,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08681_0002,2.2,['LAP'],94726_117431,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08681_0017,17.1,['RiPP-like'],1_10021,,,,
MAG08683_0015,15.1,['lanthipeptide-class-iii'],1_10547,,,,
MAG08684_0028,28.1,['ranthipeptide'],1_17393,,,,
MAG08685_0047,47.1,['RiPP-like'],1_9815,,,,
MAG08685_0070,70.1,['T3PKS'],1_6529,,,,
MAG08687_0017,17.1,['lanthipeptide-class-iii'],1_10685,,,,
MAG08688_0003,3.1,['RiPP-like'],40863_51798,,,,
MAG08688_0007,7.1,['RiPP-like'],1_31952,gassericin T,RiPP,22,BGC0000619
MAG08688_0007,7.1,['RiPP-like'],1_31952,gassericin-T,RiPP,22,BGC0001602
MAG08688_0007,7.1,['RiPP-like'],1_31952,gassericin E,RiPP,22,BGC0001388
MAG08688_0015,15.1,['LAP'],1_16410,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG08688_0074,74.1,['RiPP-like'],1_6569,gassericin T,RiPP,33,BGC0000619
MAG08688_0074,74.1,['RiPP-like'],1_6569,gassericin-T,RiPP,33,BGC0001602
MAG08688_0074,74.1,['RiPP-like'],1_6569,gassericin E,RiPP,22,BGC0001388
MAG08689_0002,2.1,['lanthipeptide-class-ii'],126232_148937,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08689_0002,2.1,['lanthipeptide-class-ii'],126232_148937,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08689_0002,2.2,['RiPP-like'],126232_148937,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08689_0002,2.2,['RiPP-like'],126232_148937,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08690_0001,1.1,['T3PKS'],42360_65658,,,,
MAG08693_0001,1.1,['T3PKS'],1_30801,,,,
MAG08694_0055,55.1,['RaS-RiPP'],1_7260,,,,
MAG08695_0053,53.1,['ranthipeptide'],1_7593,,,,
MAG08696_0002,2.1,['NRPS-like'],97769_139514,,,,
MAG08696_0004,4.1,['RiPP-like'],105079_121017,,,,
MAG08696_0006,6.1,['ranthipeptide'],6384_27790,,,,
MAG08697_0015,15.1,['lanthipeptide-class-ii'],1_11134,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG08697_0015,15.1,['lanthipeptide-class-ii'],1_11134,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08697_0015,15.1,['lanthipeptide-class-ii'],1_11134,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG08697_0015,15.1,['lanthipeptide-class-ii'],1_11134,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG08697_0015,15.1,['lanthipeptide-class-ii'],1_11134,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08697_0016,16.1,['lanthipeptide-class-iii'],1_9723,,,,
MAG08697_0017,17.1,['RiPP-like'],2195_8765,,,,
MAG08699_0002,2.1,['arylpolyene'],1_20280,flexirubin,Other,8,BGC0000839
MAG08699_0002,2.1,['arylpolyene'],1_20280,flexirubin,Polyketide,5,BGC0000838
MAG08699_0003,3.1,['RRE-containing'],69612_90001,,,,
MAG08699_0006,6.1,['arylpolyene'],1_25886,flexirubin,Other,16,BGC0000839
MAG08699_0006,6.1,['arylpolyene'],1_25886,flexirubin,Polyketide,8,BGC0000838
MAG08700_0013,13.1,['RRE-containing'],18155_38421,,,,
MAG08700_0018,18.1,['arylpolyene'],3003_40094,flexirubin,Other,24,BGC0000839
MAG08700_0018,18.1,['arylpolyene'],3003_40094,flexirubin,Polyketide,11,BGC0000838
MAG08700_0018,18.1,['arylpolyene'],3003_40094,APE Vf,Other,10,BGC0000837
MAG08700_0018,18.1,['arylpolyene'],3003_40094,aryl polyenes,Other,11,BGC0002008
MAG08701_0023,23.1,['NRPS-like'],1_15083,,,,
MAG08701_0078,78.1,['T3PKS'],1_4169,,,,
MAG08702_0055,55.1,['ranthipeptide'],1_7785,,,,
MAG08704_0010,10.1,['ranthipeptide'],55024_75146,,,,
MAG08705_0002,2.1,['RRE-containing'],64375_85541,chejuenolide A/chejuenolide B,Polyketide,7,BGC0001543
MAG08706_0002,2.1,['arylpolyene'],17241_43281,flexirubin,Other,20,BGC0000839
MAG08706_0002,2.1,['arylpolyene'],17241_43281,flexirubin,Polyketide,8,BGC0000838
MAG08706_0002,2.1,['arylpolyene'],17241_43281,APE Vf,Other,10,BGC0000837
MAG08706_0002,2.1,['arylpolyene'],17241_43281,APE Ec,Other,10,BGC0000836
MAG08706_0002,2.1,['arylpolyene'],17241_43281,aryl polyenes,Other,11,BGC0002008
MAG08706_0009,9.1,['RRE-containing'],1_14630,,,,
MAG08708_0015,15.1,['ranthipeptide'],1_16145,,,,
MAG08709_0003,3.1,['RiPP-like'],109709_121904,,,,
MAG08709_0015,15.1,['ranthipeptide'],1_14951,,,,
MAG08711_0049,49.1,['RRE-containing'],1_9364,,,,
MAG08713_0009,9.1,['RiPP-like'],2490_13671,,,,
MAG08713_0027,27.1,['lanthipeptide-class-ii'],1_11219,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG08713_0027,27.1,['lanthipeptide-class-ii'],1_11219,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08713_0027,27.1,['lanthipeptide-class-ii'],1_11219,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG08713_0027,27.1,['lanthipeptide-class-ii'],1_11219,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG08713_0027,27.1,['lanthipeptide-class-ii'],1_11219,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08713_0029,29.1,['lanthipeptide-class-iii'],1_10599,,,,
MAG08714_0123,123.1,['ranthipeptide'],1_3776,,,,
MAG08716_0040,40.1,['RRE-containing'],1349_18371,,,,
MAG08718_0042,42.1,['RRE-containing'],1_10423,,,,
MAG08721_0063,63.1,['ranthipeptide'],1_5520,,,,
MAG08723_0001,1.1,['NRPS-like'],27862_70321,,,,
MAG08723_0015,15.1,['T3PKS'],6182_33055,,,,
MAG08724_0002,2.1,['arylpolyene'],54882_103633,flexirubin,Other,28,BGC0000839
MAG08724_0002,2.1,['arylpolyene'],54882_103633,flexirubin,Polyketide,13,BGC0000838
MAG08724_0002,2.1,['arylpolyene'],54882_103633,APE Vf,Other,15,BGC0000837
MAG08724_0002,2.1,['arylpolyene'],54882_103633,aryl polyenes,Other,16,BGC0002008
MAG08724_0007,7.1,['RRE-containing'],31157_51546,,,,
MAG08724_0036,36.1,"['thiopeptide', 'LAP']",1_20251,,,,
MAG08725_0007,7.1,['NRPS-like'],1_38110,,,,
MAG08725_0009,9.1,['T3PKS'],1_30004,,,,
MAG08726_0002,2.1,['resorcinol'],33532_74203,,,,
MAG08726_0104,104.1,['RRE-containing'],1_5195,,,,
MAG08727_0001,1.1,['ranthipeptide'],20524_40670,,,,
MAG08727_0007,7.1,['RaS-RiPP'],22557_47783,,,,
MAG08728_0006,6.1,['T3PKS'],17651_41011,,,,
MAG08729_0004,4.1,['lanthipeptide-class-ii'],95641_118346,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08729_0004,4.1,['lanthipeptide-class-ii'],95641_118346,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08730_0050,50.1,['ranthipeptide'],1_7823,,,,
MAG08731_0005,5.1,['NRPS-like'],1_32451,,,,
MAG08731_0018,18.1,['T3PKS'],1_22587,,,,
MAG08732_0025,25.1,['ranthipeptide'],1_18497,,,,
MAG08732_0030,30.1,['RiPP-like'],5172_15960,,,,
MAG08733_0018,18.1,['lanthipeptide-class-i'],1_11724,,,,
MAG08734_0002,2.1,['RRE-containing'],54591_74869,,,,
MAG08735_0003,3.1,['arylpolyene'],1_30199,flexirubin,Other,28,BGC0000839
MAG08735_0003,3.1,['arylpolyene'],1_30199,flexirubin,Polyketide,13,BGC0000838
MAG08735_0003,3.1,['arylpolyene'],1_30199,APE Vf,Other,15,BGC0000837
MAG08735_0003,3.1,['arylpolyene'],1_30199,aryl polyenes,Other,16,BGC0002008
MAG08735_0012,12.1,['RRE-containing'],36872_57261,,,,
MAG08736_0003,3.1,['ranthipeptide'],38075_59744,,,,
MAG08736_0024,24.1,"['thiopeptide', 'LAP']",1_18890,,,,
MAG08737_0002,2.1,['lanthipeptide-class-ii'],139872_162577,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08737_0002,2.1,['lanthipeptide-class-ii'],139872_162577,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08737_0002,2.2,['RiPP-like'],139872_162577,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG08737_0002,2.2,['RiPP-like'],139872_162577,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG08737_0017,17.1,['LAP'],1_14990,,,,
MAG08739_0258,258.1,['RRE-containing'],1_2092,,,,
MAG08740_0006,6.1,['RRE-containing'],52003_72269,,,,
MAG08741_0008,8.1,['ranthipeptide'],1_19916,,,,
MAG08742_0010,10.1,['ranthipeptide'],1_20780,,,,
MAG08744_0002,2.1,['ranthipeptide'],87146_107292,,,,
MAG08744_0004,4.1,['RaS-RiPP'],88202_113425,,,,
MAG08745_0001,1.1,['NRPS-like'],45651_88110,,,,
MAG08745_0023,23.1,['T3PKS'],1_19956,,,,
MAG08745_0027,27.1,['lanthipeptide-class-iii'],1_14655,anacyclamide A10,RiPP:Cyanobactin,14,BGC0000472
MAG08746_0016,16.1,['T3PKS'],1_21490,,,,
MAG08748_0024,24.1,['RaS-RiPP'],1_13294,,,,
MAG08749_0013,13.1,['RRE-containing'],36384_54455,,,,
MAG08751_0002,2.1,['NRPS-like'],9739_47604,,,,
MAG08751_0020,20.1,['T3PKS'],1_19042,,,,
MAG08751_0037,37.1,['lanthipeptide-class-iii'],1_12555,,,,
MAG08753_0015,15.1,['ranthipeptide'],1_16189,,,,
MAG08754_0004,4.1,['ranthipeptide'],41069_59404,,,,
MAG08756_0001,1.1,['ranthipeptide'],76468_98037,,,,
MAG08756_0003,3.1,['RiPP-like'],137377_147622,,,,
MAG08757_0003,3.1,['RiPP-like'],1_11505,,,,
MAG08757_0030,30.1,['lanthipeptide-class-ii'],1_16181,,,,
MAG08758_0005,5.1,['arylpolyene'],1_37120,flexirubin,Other,24,BGC0000839
MAG08758_0005,5.1,['arylpolyene'],1_37120,flexirubin,Polyketide,11,BGC0000838
MAG08758_0005,5.1,['arylpolyene'],1_37120,aryl polyenes,Other,16,BGC0002008
MAG08758_0005,5.1,['arylpolyene'],1_37120,APE Vf,Other,10,BGC0000837
MAG08758_0017,17.1,['RRE-containing'],14014_34280,,,,
MAG08760_0001,1.1,['RiPP-like'],123713_134099,,,,
MAG08760_0002,2.1,['RiPP-like'],105927_121624,,,,
MAG08760_0017,17.1,['ranthipeptide'],9635_24576,,,,
MAG08763_0001,1.1,['ranthipeptide'],223232_244887,,,,
MAG08763_0003,3.1,['RiPP-like'],32134_50239,,,,
MAG08765_0006,6.1,['RRE-containing'],38829_59218,,,,
MAG08765_0022,22.1,['arylpolyene'],2976_28864,flexirubin,Polyketide,8,BGC0000838
MAG08765_0022,22.1,['arylpolyene'],2976_28864,flexirubin,Other,12,BGC0000839
MAG08766_0002,2.1,['T3PKS'],1_23440,,,,
MAG08766_0004,4.1,['NRPS-like'],36687_63974,,,,
MAG08767_0033,33.1,['ranthipeptide'],1_10348,,,,
MAG08769_0001,1.1,['ranthipeptide'],62251_83651,,,,
MAG08770_0042,42.1,['T3PKS'],1_14192,,,,
MAG08772_0134,134.1,['RRE-containing'],1_5847,,,,
MAG08773_0065,65.1,['RRE-containing'],1_9051,,,,
MAG08776_0018,18.1,['ranthipeptide'],1_16482,,,,
MAG08778_0016,16.1,['ranthipeptide'],12894_29005,,,,
MAG08779_0002,2.1,['RRE-containing'],70425_90814,,,,
MAG08779_0003,3.1,['arylpolyene'],25077_73828,flexirubin,Other,28,BGC0000839
MAG08779_0003,3.1,['arylpolyene'],25077_73828,flexirubin,Polyketide,13,BGC0000838
